,published_date,title,publisher,kode_emitten
145,2023-06-14,"14 Emiten LQ45 Labanya Jeblok, Ada SCMA, MDKA Hingga TINS",CNBC Indonesia,MDKA
146,2023-06-21,"Masih Punya Pekerjaan Rumah, Intip Prospek Merdeka Copper Gold (MDKA)",Kontan,MDKA
147,2023-06-22,"Analis Turunkan Target Harga Merdeka Copper (MDKA), Ini Alasannya",Kontan,MDKA
148,2023-06-25,"Laba 2022 Melonjak 61 Persen, MDKA Kembali Absen Bagi Dividen",Bisnis,MDKA
149,2023-07-18,"Harga Emas Masih Solid, Simak Rekomendasi Saham ANTM, MDKA, dan HRTA",Kontan,MDKA
150,2023-07-19,"Merdeka Copper Gold (MDKA) Tawarkan Obligasi Rp2,5 Triliun untuk Bayar Utang",Bisnis,MDKA
151,2023-07-20,"Emas Mendidih, Saham Merdeka Copper (MDKA) Meroket 5%",CNBC Indonesia,MDKA
152,2023-07-20,"Merdeka Copper (MDKA) Akan Menerbitkan Obligasi Senilai Rp 2,55 Triliun",Kontan,MDKA
153,2023-07-20,"Merdeka Copper (MDKA) Terbitkan Obligasi Rp 2,55 T",CNBC Indonesia,MDKA
154,2023-07-24,"Harga Nikel dan Turunannya Terkoreksi, Cermati Dampaknya pada MDKA, ANTM, dan NCKL",Kontan,MDKA
155,2023-08-18,Merdeka Copper Gold Komit Kembangkan Aset Berskala Global,CNBC Indonesia,MDKA
156,2023-08-19,"Berhasil Tingkatkan Aset & Proyek,Merdeka Copper Gold (MDKA) Susun Langkah Strategis",Kontan,MDKA
157,2023-09-08,Ini 2 Proyek Besar Tambang Merdeka Copper (MDKA),Bisnis,MDKA
158,2023-09-08,Merdeka Copper Gold (MDKA) Siap Operasikan Tambang Bawah Tanah pada 2027,Bisnis,MDKA
159,2023-09-08,"Intip Tambang Emas Raksasa Merdeka Copper, Segini Produksinya",CNBC Indonesia,MDKA
160,2023-09-11,Anak Usaha Merdeka Copper Gold (MDKA) Genjot Produksi Emas dan Tembaga di Banyuwangi,Kontan,MDKA
161,2023-09-14,"Menilik Strategi Pendanaan & Rencana Ekspansi MDKA, Beserta Rekomendasi Sahamnya",Kontan,MDKA
162,2023-09-14,Intip Tambang Emas Merdeka Copper (MDKA) di Banyuwangi yang Bertetangga dengan Lokasi Wisata,Bisnis,MDKA
