,datetime,open,high,low,close,volume,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,UPPERBAND,MIDDLEBAND,LOWERBAND,negative,positive,total_news,sentiment,type,ground_truth,prediction
1144,2022-09-22,2050.0,2090.0,2040.0,2080.0,56857200.0,2060.0,2051.5,2000.5,1960.9,2065.9679513824663,2048.2987784635243,2026.8802252711184,2016.148556290841,56.48390842954064,23.871901280003613,15.645221579462822,2127.8538377906216,2000.5,1873.1461622093784,1.0,5.0,6.0,2,test,1,1.0
1145,2018-11-27,605.0,615.0,595.0,595.0,48074000.0,619.0,648.0,668.75,739.1,618.8963038075888,640.1006859713907,668.3030661808959,723.7878246104933,22.42744511279383,-35.41292456606163,-29.965133775656007,731.7480158417708,668.75,605.7519841582292,0.0,0.0,0.0,0,test,2,2.0
1146,2023-08-16,1985.0,1990.0,1960.0,1960.0,68961200.0,1986.0,2002.0,1994.25,1994.3,1984.6855034203768,1992.5937633232825,1994.774335199324,1997.8778243239933,41.27507887566053,-1.2094231370467696,2.4155493599918665,2039.3360288781348,1994.25,1949.1639711218647,1.0,0.0,1.0,-1,test,0,0.0
1147,2020-11-30,1225.0,1225.0,1145.0,1145.0,446062400.0,1205.0,1215.5,1189.0,984.8,1196.0415847657434,1199.8434622875398,1166.50533380593,1039.7941893837792,51.45567970089252,57.210736067786,73.52579898939734,1279.47651629014,1189.0,1098.52348370986,2.0,3.0,5.0,2,test,2,2.0
1148,2023-01-04,2020.0,2100.0,2010.0,2050.0,142640300.0,2005.0,2005.5,1992.25,1976.3,2013.4982664292309,2006.369115639876,1998.0526448366068,1979.83590987584,58.41381299712089,11.094595796892463,10.021718940143057,2064.8774741403004,1992.25,1919.6225258597,1.0,3.0,4.0,2,test,0,1.0
1149,2021-04-05,2280.0,2280.0,2190.0,2200.0,107349400.0,2232.0,2247.0,2275.0,2550.0,2233.1564379998867,2256.0543769696046,2325.998398534327,2375.6278528103708,41.41032878677209,-92.89927683049292,-97.30544620874622,2422.0374102057026,2275.0,2127.9625897942974,4.0,7.0,11.0,2,test,1,1.0
1150,2023-06-22,2010.0,2060.0,2010.0,2010.0,40103700.0,2026.0,2018.0,1987.75,2031.6,2017.6939810223143,2013.9343463212667,2006.5453342235244,2013.9905243957849,50.6397426058945,5.133943988484134,-0.4028628546279771,2074.3222241830485,1987.75,1901.177775816952,1.0,1.0,2.0,1,test,1,1.0
1151,2023-01-06,1950.0,1985.0,1930.0,1985.0,55673400.0,1996.0,1997.5,1993.5,1981.8,1993.2214517463249,1996.3297385688425,1993.9614620998072,1979.4794385282169,49.314023547795074,5.520549162848738,8.657232230867173,2062.5724257573165,1993.5,1924.427574242684,0.0,0.0,0.0,0,test,1,1.0
1152,2023-07-06,1995.0,2050.0,1990.0,2020.0,88546800.0,1978.0,1989.0,2002.25,2017.4,1991.273355999477,1990.826623653576,1993.4974922394545,2005.521558094722,54.66486009396424,-4.027995543349562,-3.902187949166021,2060.2564651569114,2002.25,1944.2435348430884,0.0,8.0,8.0,2,test,1,1.0
1153,2018-11-01,680.0,705.0,680.0,685.0,92372600.0,694.0,721.5,755.25,794.5,694.8155884516401,715.3930057989014,743.0761897029272,785.1167424181627,29.07440699435359,-32.367633687361376,-24.455300732920502,841.9953168764747,755.25,668.5046831235253,0.0,1.0,1.0,2,test,2,2.0
1154,2023-02-03,2380.0,2380.0,2280.0,2330.0,69943400.0,2330.0,2320.0,2230.75,2085.3,2331.326375391652,2305.637445782266,2243.068856104041,2130.31988702473,66.11268787390937,81.1602655929014,77.99344558293299,2458.96645427094,2230.75,2002.53354572906,1.0,2.0,3.0,2,test,1,1.0
1155,2019-09-10,1130.0,1160.0,1110.0,1130.0,202036800.0,1105.0,1098.0,1082.0,981.2,1110.4824670603527,1097.3203242848683,1071.6987394861503,1000.2288259098516,61.045516896467234,36.83668604596687,37.83431266925601,1162.647380614624,1082.0,1001.3526193853762,0.0,1.0,1.0,2,test,0,0.0
1156,2020-09-22,750.0,755.0,725.0,735.0,52789600.0,772.0,777.5,799.5,756.7,765.6379089512138,778.447554725661,784.4302020492255,750.9543241558724,40.68605831715181,0.3429332200489625,10.815971342570098,860.154760736483,799.5,738.845239263517,0.0,2.0,2.0,2,test,2,2.0
1157,2022-03-09,2650.0,2740.0,2650.0,2650.0,706107000.0,2610.0,2413.0,2164.0,2067.9,2615.162342263769,2457.3548854907385,2273.690652063418,2154.3269325376364,72.14567002109233,189.77488384367007,110.36069316066524,2796.112331789216,2164.0,1531.887668210784,1.0,6.0,7.0,2,test,1,1.0
1158,2019-07-31,940.0,945.0,925.0,935.0,48705800.0,917.0,932.0,889.5,816.7,924.5618266451168,917.6197736678934,895.1514789077605,858.1280142820066,62.0746898688865,30.387846356886712,31.440765462865,990.1926015157022,889.5,788.8073984842978,0.0,3.0,3.0,2,test,1,1.0
1159,2022-04-26,2630.0,2640.0,2450.0,2500.0,229686600.0,2694.0,2746.0,2680.0,2475.2,2652.862836505901,2694.389281682016,2668.192629952627,2513.112111234041,43.13505548981511,59.22139724251065,94.11441824575792,2938.6890024720806,2680.0,2421.3109975279194,3.0,4.0,7.0,2,test,0,0.0
1160,2022-03-04,2350.0,2460.0,2340.0,2450.0,320796500.0,2288.0,2202.5,2021.5,2036.7,2304.922905140221,2208.8880008068218,2101.908314442239,2076.1108205598857,80.14014017236887,102.76800048237236,48.49232060783563,2427.407624959177,2021.5,1615.5923750408228,0.0,5.0,5.0,2,test,1,1.0
1161,2020-11-12,1190.0,1205.0,1165.0,1170.0,200055900.0,1186.0,1142.5,1072.0,888.7,1175.0197386453533,1142.7153738335005,1069.028382057394,935.415698675296,68.9823399804226,95.06718956072518,90.48629240737148,1284.4241040936738,1072.0,859.5758959063261,1.0,4.0,5.0,2,test,2,2.0
1162,2020-12-02,1170.0,1260.0,1170.0,1245.0,803420400.0,1197.0,1212.5,1198.25,1001.5,1203.2407043403305,1201.3828135974438,1172.989626993063,1052.1821794350074,62.28925013694896,50.42868798298196,65.09425458342297,1275.9851271948532,1198.25,1120.5148728051468,1.0,3.0,4.0,2,test,2,2.0
1163,2021-05-11,2600.0,2690.0,2600.0,2670.0,164247600.0,2644.0,2579.0,2467.0,2393.0,2637.750599951257,2582.175597306583,2506.920855939391,2437.2699201919354,66.8190942597138,79.17955791641089,50.81749186886127,2721.015747543336,2467.0,2212.984252456664,0.0,2.0,2.0,2,test,1,1.0
1164,2023-06-15,2040.0,2050.0,2010.0,2040.0,44386500.0,2010.0,1993.5,1968.5,2029.4,2017.1761683882023,2000.867760832297,1995.4259123111112,2011.5415424991,56.60824634160503,-0.4257823747277598,-12.663530762629147,2045.0571681816928,1968.5,1891.9428318183072,6.0,18.0,24.0,2,test,1,1.0
1165,2020-10-26,1090.0,1095.0,1060.0,1060.0,183290100.0,1073.0,1001.5,865.75,819.1,1056.0942844428455,1000.8017822263812,921.7299211941728,831.0758151814906,71.90786738933063,86.42120684928898,58.24633523425496,1172.6909552340644,865.75,558.8090447659355,3.0,3.0,6.0,1,test,2,2.0
1166,2022-02-23,2200.0,2230.0,2170.0,2200.0,140926300.0,2117.0,1996.0,1894.0,2034.5,2119.570810908552,2033.9579233846373,1973.9961160365008,2028.241681902157,69.31497809114813,39.74363590141752,-17.405465252874762,2178.527678794173,1894.0,1609.472321205827,2.0,3.0,5.0,2,test,1,1.0
1167,2019-01-08,775.0,780.0,755.0,760.0,82485900.0,756.0,762.0,753.5,707.2,760.6290483231342,757.8474865520243,746.1004450445292,736.4268749515419,56.15488510516905,15.459770740831118,16.462659226778094,784.0122926047848,753.5,722.9877073952152,0.0,2.0,2.0,2,test,2,2.0
1168,2023-02-09,2240.0,2260.0,2220.0,2220.0,47038700.0,2262.0,2293.0,2272.0,2108.6,2255.817555632919,2269.9820559919026,2243.0473742747863,2147.1598752261843,50.48565214592098,47.79737256265753,66.34232821992416,2395.8709005376163,2272.0,2148.129099462384,1.0,5.0,6.0,2,test,1,1.0
1169,2023-09-12,1960.0,1960.0,1940.0,1945.0,19270100.0,1949.0,1958.5,1965.5,1982.0,1950.5150381491792,1956.761094298115,1966.001266934259,1979.9822352265169,40.95461500675011,-10.786707428756245,-8.343393178545714,2006.475602497096,1965.5,1924.5243975029043,2.0,2.0,4.0,1,test,0,0.0
1170,2018-10-09,810.0,820.0,800.0,810.0,21828100.0,806.0,813.5,805.5,844.7,808.1491286141455,808.9997654035692,812.5912988931979,830.4467077171452,47.89771601450699,-7.015282610517147,-9.268554362639652,836.4677251344041,805.5,774.5322748655959,0.0,0.0,0.0,0,test,1,1.0
1171,2021-09-16,2520.0,2550.0,2390.0,2410.0,163306000.0,2496.0,2432.0,2370.0,2442.2,2454.7182652376937,2435.81231220712,2410.210145423184,2406.0446755615567,50.3213959974649,22.057101668175164,5.792498802893441,2550.88670487352,2370.0,2189.11329512648,1.0,5.0,6.0,2,test,1,1.0
