,published_date,title,publisher,kode_emitten
176,2020-02-21,"Haryanto Budiman & Hendra Lembong Join BCA, Jahja Buka Suara",CNBC Indonesia,BBCA
177,2020-02-21,BCA Expoversary 2020 Bidik Transaksi Rp5 Triliun,Bisnis,BBCA
178,2020-02-22,BCA Bakal Tambah Direksi Baru?,Bisnis,BBCA
179,2020-02-22,"BCA Surabaya Kejar Penyaluran Kredit Rp3,5 Triliun Tahun Ini",Bisnis,BBCA
180,2020-02-23,"BCA Gandeng Sinar Mas Land Tawarkan Bunga KPR 2,63 Persen",Bisnis,BBCA
181,2020-02-24,"Kasus Jiwasraya: Kejaksaan Agung Panggil Pimpinan, BCA dan Bank Mandiri Buka Suara",Bisnis,BBCA
182,2020-02-28,BCA Kenalkan Layanan Valas Full Payment,Bisnis,BBCA
183,2020-03-01,"Arab Saudi Setop Umrah, BCA Syariah Belum Terdampak",Bisnis,BBCA
184,2020-03-04,"Aset 5 Bank Besar: BRI Masih Juara, BCA Tumbuh Paling Tinggi",Bisnis,BBCA
185,2020-03-10,Pengembang The Sanctuary Collection Gandeng Bank BCA,Bisnis,BBCA
186,2020-03-11,"RUPS 9 April, Haryanto Budiman & Hendra Lembong ke BCA",CNBC Indonesia,BBCA
187,2020-03-18,"Cegah Corona, Ini #BankingFromHome a La BCA",CNBC Indonesia,BBCA
188,2020-03-19,"Perdagangan Dihentikan, BCA Kena ARB & 161 Saham Mendekati",CNBC Indonesia,BBCA
189,2020-03-19,"BCA Jual Dolar AS di Rp 16.150, Beli di Rp 15.950",CNBC Indonesia,BBCA
190,2020-03-20,"Kurs Jual-Beli Dolar AS di BCA dan Mandiri, 20 Maret 2020",Bisnis,BBCA
191,2020-03-24,Catat! Ini Daftar Kantor Cabang BCA yang Tutup Sementara,Bisnis,BBCA
192,2020-03-25,"Daftar Kode Transfer Bank di Indonesia 2020, BRI, Mandiri, BCA dan Lainnya",Bisnis,BBCA
193,2020-03-26,"Harga Saham BBCA Cepat Naik Tapi Susah Turun, Kenapa?",Bisnis,BBCA
194,2020-03-28,"Kabar baik, Bank BCA tambah limit transfer KlikBCA individu, ini besaranya",Kontan,BBCA
195,2020-03-30,"5 Berita Populer Finansial, Kabar Pengumuman Bank Mandiri, BNI, & BRI Soal Keringanan Kredit dan Beli Surat Utang, Bank BCA Jaga Likuiditas",Bisnis,BBCA
196,2020-04-09,"Budi dan Michael Hartono, Genap 12 Tahun Jadi Orang Terkaya Berkat BCA",Bisnis,BBCA
197,2020-04-09,BCA Pilih Haryanto Budiman & Gregory Lembong Jadi Direktur,CNBC Indonesia,BBCA
198,2020-04-09,Sah! Haryanto Budiman & Gregory Lembong Jadi Direktur BCA,CNBC Indonesia,BBCA
199,2020-04-09,"Kompetisi Era Digital Kian Ketat, BCA Tambah Dua Direksi Baru",Bisnis,BBCA
200,2020-04-09,"Haryanto Budiman dan Hendra Lembong sah jadi anggota direksi BBCA, ini profil mereka",Kontan,BBCA
201,2020-04-14,"Dari BCA Duo Hartono Dapat Dividen Rp 7,5 T, Salim Berapa?",CNBC Indonesia,BBCA
202,2020-04-16,"Kurs Jual-Beli Dolar AS di BNI dan BCA, 16 April 2020",Bisnis,BBCA
203,2020-04-16,"Bos-Bos BCA Tambah Kepemilikan Saham, Investasi Jangka Panjang",Bisnis,BBCA
204,2020-04-17,"Ikuti anggota direksi lain, empat direksi BCA lainnya juga ikut borong saham BBCA",Kontan,BBCA
205,2020-04-20,Ini Bonus yang Direksi dan Komisaris Bank BCA (BBCA) Peroleh atas Kinerja 2019,Kontan,BBCA
206,2020-04-20,"Aktivitas Dibatasi, BCA Finance Tutup Sementara Kantor Layanan di Mal Jakarta",Bisnis,BBCA
207,2020-04-22,Driver GoCar Dapat Keringanan Kredit dari BCA Finance,Bisnis,BBCA
208,2020-04-27,"Bantu Tangani Corona, Penyaluran CSR BCA Mencapai Rp12 Miliar",Bisnis,BBCA
209,2020-05-12,Karyawan BCA Galang Donasi Rp1 Miliar Lawan Covid-19,Bisnis,BBCA
210,2020-05-12,"BCA pangkas batas tarik tunai kartu kredit jadi 20% dari limit kartu, apa alasannya?",Kontan,BBCA
211,2020-05-12,BCA batasi penarikan tunai kartu kredit dari 50% jadi 20%,Kontan,BBCA
212,2020-05-12,Calon kuat bank jangkar cuma Himbara dan BCA?,Kontan,BBCA
213,2020-05-13,"Cek! Ini Bunga Deposito BRI, Bank Mandiri, BNI, BCA, dan CIMB Niaga",Bisnis,BBCA
214,2020-05-14,"Asyik, kartu debit BCA kini bisa dipakai buat belanja online",Kontan,BBCA
215,2020-05-15,"Kurs Jual Beli Dolar AS di Bank Mandiri dan BCA, 15 Mei 2020",Bisnis,BBCA
216,2020-05-22,"Bos BCA Jahja Setiaatmadja, Buah Jatuh Tak Jauh dari Pohonnya...",Bisnis,BBCA
217,2020-05-22,BCA punya fitur layanan digital BagiBagi untuk transfer THR,Kontan,BBCA
218,2020-05-27,Analisis Kinerja Bank BCA (BBCA) dan Potensi Sahamnya,Bisnis,BBCA
